original_school_name,original_city,original_county,district_id,district_name,district_type,school_id,school_name,address,city
Kent City Elementary,Kent City,Kent,41150,Kent City Community Schools,LEA School,1113,Kent City Alternative High School,200 N Clover St,Kent City
Kent City High School,Kent City,Kent,41150,Kent City Community Schools,LEA School,1113,Kent City Alternative High School,200 N Clover St,Kent City
Kingsley High School,Kingsley,Grand Traverse,28090,Kingsley Area Schools,LEA School,2041,Kingsley Area High School,7475 Kingsley Rd,Kingsley
Kingsley High School Football Team,Kingsley,Grand Traverse,28090,Kingsley Area Schools,LEA School,2041,Kingsley Area High School,7475 Kingsley Rd,Kingsley
Dakota High School,Macomb,Macomb,50140,L'Anse Creuse Public Schools,LEA School,6487,L'Anse Creuse High School - North,23700 21 Mile Rd,Macomb
Tenniswood Elementary,Clinton Township,Macomb,50140,L'Anse Creuse Public Schools,LEA School,6488,Tenniswood Elementary School,23450 Glenwood St,Clinton Township
Laingsburg HS,Laingsburg,Shiawassee,78040,Laingsburg Community Schools,LEA School,2070,Laingsburg Elementary School,117 Prospect St,Laingsburg
Kennedy Middle School,St. Clair Shores,Macomb,50120,Lake Shore Public Schools (Macomb),LEA School,5197,Kennedy Middle School,23101 Masonic Blvd,Saint Clair Shores
Lakeshore High School,Stevensville,Berrien,11030,Lakeshore School District (Berrien),LEA School,2095,Lakeshore High School,5771 Cleveland Ave,Stevensville
Lakeshore High School,St. Clair Shores,Macomb,11030,Lakeshore School District (Berrien),LEA School,2095,Lakeshore High School,5771 Cleveland Ave,Stevensville
Lakeshore Middle School,Grand Haven,Ottawa,11030,Lakeshore School District (Berrien),LEA School,2097,Lakeshore Middle School,1459 West John Beers Rd,Stevensville
Lakeview Comm Schools,Lakeview,Montcalm,59090,Lakeview Community Schools (Montcalm),LEA School,2103,Lakeview Middle School,516 Washington St,Lakeview
Ardmore Elementary,St. Clair Shores,Macomb,50130,Lakeview Public Schools (Macomb),LEA School,116,Ardmore Elementary School,27001 Greater Mack Ave,Saint Clair Shores
Jefferson Middle School,St. Clair Shores,Macomb,50130,Lakeview Public Schools (Macomb),LEA School,677,Jefferson Middle School,27900 Rockwood St,Saint Clair Shores
Jefferson Middle School,Midland,Midland,50130,Lakeview Public Schools (Macomb),LEA School,677,Jefferson Middle School,27900 Rockwood St,Saint Clair Shores
Landmark Academy,Kimball,St. Clair,74903,Landmark Academy,PSA School,8701,Landmark Academy,4800 Lapeer Rd,Kimball
Lapeer High School,Lapeer,Lapeer,44010,Lapeer Community Schools,LEA School,6596,Lapeer High School,933 South Saginaw St,Lapeer
Rolland Warner,Lapeer,Lapeer,44010,Lapeer Community Schools,LEA School,245,Rolland Warner Campus 6/7,3145 W Genesee Street,Lapeer
Turrill Elementary,Lapeer,Lapeer,44010,Lapeer Community Schools,LEA School,4233,Turrill Elementary School,785 South Elm St,Lapeer
Zemmer,Lapeer,Lapeer,44010,Lapeer Community Schools,LEA School,294,Zemmer Campus 8/9,1920 W. Oregon,Lapeer
Lawton Public School,Lawton,Van Buren,80140,Lawton Community School District,LEA School,2141,Lawton Elementary School,100 Primary Way,Lawton
Leland Public School,Leland,Leelanau,45020,Leland Public School District,LEA School,2155,Leland Public School,200 North Grand Ave,Leland
Lenawee TECH Center,Adrian,Lenawee,46000,Lenawee ISD,ISD Unique Education Provider,5975,LISD TECH Center,1372 North Main St,Adrian
LISD Tech,Adrian,Lenawee,46000,Lenawee ISD,ISD Unique Education Provider,5975,LISD TECH Center,1372 North Main St,Adrian
Les Cheneaux Community School,Cedarville,Mackinac,49040,Les Cheneaux Community Schools,LEA School,2163,Cedarville School,298 East Highway M-134,Cedarville
Lincoln Middle School,Ypsilanti,Washtenaw,81070,Lincoln Consolidated School District,LEA School,5166,Lincoln Middle School,8744 Whittaker Rd,Ypsilanti
Hyatt Elementary,Linden,Genesee,25250,Linden Community Schools,LEA School,9359,Hyatt Elementary,325 Stan Eaton Dr,Linden
Livingston Classical Academy,Whitmore Lake,Washtenaw,81913,Livingston Classical Academy,PSA School,2932,Livingston Classical Academy,8877 Main Street,Whitmore Lake
Salem High School,Canton,Wayne,82095,Livonia Public Schools School District,LEA School,1302,Franklin High School,31000 Joy Rd,Livonia
Lowell High School,Lowell,Kent,41170,Lowell Area Schools,LEA School,2272,Lowell Senior High School,11700 Vergennes St,Lowell
Lowell Middle School,Lowell,Kent,41170,Lowell Area Schools,LEA School,2272,Lowell Senior High School,11700 Vergennes St,Lowell
Macomb Intermediate School District,Clinton Township,Macomb,50901,Macomb Academy,PSA School,8051,Macomb Academy,39092 Garfield Rd,Clinton Township
Madison Schools,Madison,Lenawee,46090,Madison School District (Lenawee),LEA School,2315,Madison Elementary School,3498 Treat Hwy,Adrian
Manchester Community Schools,Manchester,Washtenaw,81080,Manchester Community Schools,LEA School,2335,Manchester Junior/Senior High School,20500 Dutch Dr,Manchester
Kennedy Elementary School,Manistee,Manistee,51070,Manistee Area Public Schools,LEA School,2016,John F. Kennedy Elem. School,550 Maple St,Manistee
Manistee High School,Manistee,Manistee,51070,Manistee Area Public Schools,LEA School,2339,Manistee Middle High School,525 12th St,Manistee
Emerald Elementary School,Manistique,Schoolcraft,77010,Manistique Area Schools,LEA School,5219,Emerald Elementary School,628 Oak Street,Manistique
Fuller Street Elementary,Nashville,Barry,23065,Maple Valley Schools,LEA School,1339,Fuller Street Elementary School,251 Fuller St,Nashville
Volinia Outcomes,Decatur,Van Buren,14050,Marcellus Community Schools,LEA School,4312,Volinia Outcome Base School,54080 Gards Pr,Marcellus
Marlette Community Schools,Marlette,Sanilac,76140,Marlette Community Schools,LEA School,230,Marlette Elementary,6230 Euclid St,Marlette
Bothwell,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,6268,Bothwell Middle School,1200 Tierney St,Marquette
Bothwell,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,6268,Bothwell Middle School,1200 Tierney St,Marquette
Bothwell Elementary,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,6268,Bothwell Middle School,1200 Tierney St,Marquette
Bothwell Middle School,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,6268,Bothwell Middle School,1200 Tierney St,Marquette
Cherry Creek Elementary,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,7822,Cherry Creek Elementary School,1111 Ortman Rd,Marquette
Graveraet,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,2312,Graveraet Elementary School,611 N Front St,Marquette
Graveraet Elementary,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,2312,Graveraet Elementary School,611 N Front St,Marquette
Marquette Alternative High School,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,2389,Marquette Senior High School,1203 West Fair Ave,Marquette
Marquette Senior High School,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,2389,Marquette Senior High School,1203 West Fair Ave,Marquette
Sandy Knoll,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,3402,Sandy Knoll School,401 North 6th St,Marquette
Superior Hills Elementary,Marquette,Marquette,52170,Marquette Area Public Schools,LEA School,1238,Superior Hills Elementary School,1201 South Mcclellan Ave,Marquette
Martin High School,Martin,Allegan,3060,Martin Public Schools,LEA School,2402,Martin High School,1556 Chalmers,Martin
Mason Middle School,Ira,Monroe,58090,Mason Consolidated Schools (Monroe),LEA School,2422,Mason Central School,2410 Lakeside Dr,Erie
Mason Middle School,Erie,Monroe,58090,Mason Consolidated Schools (Monroe),LEA School,2422,Mason Central School,2410 Lakeside Dr,Erie
Mattawan Public School,Mattawan,Van Buren,80150,Mattawan Consolidated School,LEA School,2438,Mattawan Early Elem. School,56720 Murray St,Mattawan
Mattawan School,Mattawan,Van Buren,80150,Mattawan Consolidated School,LEA School,2438,Mattawan Early Elem. School,56720 Murray St,Mattawan
McBain Public Schools,McBain,Missaukee,57030,McBain Rural Agricultural Schools,LEA School,2468,McBain High School,107 East Maple St,Mc Bain
Menominee Jr/Sr High School,Menominee,Menominee,55100,Menominee Area Public Schools,LEA School,2514,Menominee Jr High School,2101 18th St,Menominee
Metro Charter Academy,Romulus,Wayne,82967,Metro Charter Academy,PSA School,8799,Metro Charter Academy,34800 Ecorse Rd,Romulus
Arnold Elementary,Michigan Center,Jackson,38120,Michigan Center School District,LEA School,122,Arnold Elementary School,4064 Page Ave,Michigan Center
Keicher Elementary,Michigan Center,Jackson,38120,Michigan Center School District,LEA School,3138,Keicher Elementary School,137 Broad St,Michigan Center
ESA - Sugnet Building,Midland,Midland,56000,Midland County Educational Service Agency,ISD School,8857,MCESA and Sugnet School Classroom Programs,3917 Jefferson Ave,Midland
ESA - Sugnet Building,Midland,Midland,56000,Midland County Educational Service Agency,ISD School,8857,MCESA and Sugnet School Classroom Programs,3917 Jefferson Ave,Midland
Siebert Elementary,Midland,Midland,56010,Midland Public Schools,LEA School,3475,Siebert School,5700 Siebert St,Midland
Montabella Elem,Blanchard,Isabella,59045,Montabella Community Schools,LEA School,346,Montabella Elementary,1456 East N County Line Rd,Blanchard
Morenci Schools,Morenci,Lenawee,46100,Morenci Area Schools,LEA School,6078,Morenci Middle and High School,788 E. Coomer St,Morenci
Morley Stanwood School,Morley,Mecosta,54040,Morley Stanwood Community Schools,LEA School,2610,Morley Stanwood Elementary School,4808 Northland Dr,Morley
Mount Clemens Middle School,Mount Clemens,Macomb,50160,Mount Clemens Community School District,LEA School,2624,Mount Clemens High School,155 Cass Ave,Mount Clemens
Munising Public Schools,Munising,Alger,2070,Munising Public Schools,LEA School,1928,Munising High and Middle School,810 East State Highway M28,Munising
Mather Elementary School,Munising,Alger,2070,Munising Public Schools,LEA School,597,William G. Mather Elementary School,411 Elm Ave,Munising
Lakeview,Negaunee,Marquette,52090,Negaunee Public Schools,LEA School,2108,Lakeview School,200 Croix St,Negaunee
Lakeview,Lakeview,Montcalm,52090,Negaunee Public Schools,LEA School,2108,Lakeview School,200 Croix St,Negaunee
Lakeview Elementary,Negaunee,Marquette,52090,Negaunee Public Schools,LEA School,2108,Lakeview School,200 Croix St,Negaunee
Lakeview School,Negaunee,Marquette,52090,Negaunee Public Schools,LEA School,2108,Lakeview School,200 Croix St,Negaunee
Negaunee,Negaunee,Marquette,52090,Negaunee Public Schools,LEA School,621,Negaunee Middle School,102 West Case St,Negaunee
Negaunee High School,Negaunee,Marquette,52090,Negaunee Public Schools,LEA School,621,Negaunee Middle School,102 West Case St,Negaunee
Negaunee Middle School,Negaunee,Marquette,52090,Negaunee Public Schools,LEA School,621,Negaunee Middle School,102 West Case St,Negaunee
Lakeview High School,St. Clair Shores,Macomb,50170,New Haven Community Schools,LEA School,825,Lake Huron Virtual & Hybrid High School,57700 Gratiot Avenue,New Haven
Newaygo Public Schools,Newaygo,Newaygo,62070,Newaygo Public School District,LEA School,2688,Newaygo High School,200 East St,Newaygo
Aspen Ridge School,Ishpeming,Marquette,52015,NICE Community School District,LEA School,8499,Aspen Ridge Elementary School,350 Aspen Ridge School Rd,Ishpeming
Westwood High School,Ishpeming,Marquette,52015,NICE Community School District,LEA School,6054,Westwood High School,300 South Westwood Dr,Ishpeming
North Branch,Lapeer,Lapeer,44090,North Branch Area Schools,LEA School,5603,North Branch Elementary School,4055 Elm Creek Rd,North Branch
North Branch Elementary,North Branch,Lapeer,44090,North Branch Area Schools,LEA School,2718,North Branch High School,6598 Brush St,North Branch
North Branch High School,North Branch,Lapeer,44090,North Branch Area Schools,LEA School,2718,North Branch High School,6598 Brush St,North Branch
Ruth Fox Middle School,North Branch,Lapeer,44090,North Branch Area Schools,LEA School,6185,Ruth Fox Middle School,6570 Brush St,North Branch
North Central Area Schools,Powers,Menominee,55115,North Central Area Schools,LEA School,3114,North Central Area Senior High School,3795 Hwy Us 2 & 41,Powers
North Central Area Schools,Powers,Menon,55115,North Central Area Schools,LEA School,3114,North Central Area Senior High School,3795 Hwy Us 2 & 41,Powers
Northport Public Schools,Northport,Leelanau,45040,Northport Public School District,LEA School,2764,Northport Public School,104 Wing St,Northport
Thornton Creek Elementary,Novi,Oakland,82390,Northville Public Schools,LEA School,7964,Thornton Creek Elementary School,46180 West 9 Mile Rd,Novi
Northwest High School,Jackson,Jackson,38140,Northwest Community Schools,LEA School,2774,Northwest Kidder Middle School,6700 Rives Junction Rd,Jackson
Novi High School,Novi,Oakland,63100,Novi Community School District,LEA School,2788,Novi Woods Elementary School,25195 Taft Rd,Novi
Oakland Schools Technical Campus Northwest,Village of Clarkston,Oakland,63000,Oakland Schools,ISD Unique Education Provider,8813,Oakland Schools Technical Campus--NW,8211 Big Lake Rd,Clarkston
Olivet High School,Olivet,Eaton,23080,Olivet Community Schools,LEA School,2828,Olivet High School,255 First St,Olivet
Young Adult Services,Grand Haven,Ottawa,70000,Ottawa Area ISD,ISD Unique Education Provider,3136,Elliott Street Bldg,605 Elliott Street,Grand Haven
Ottawa Area Center,Allendale,Ottawa,70000,Ottawa Area ISD,ISD School,1054,Ottawa Area Center,10160 96th Ave,Allendale
Owosso High School,Owosso,Shiawassee,78110,Owosso Public Schools,LEA School,2920,Owosso Middle School,219 North Water St,Owosso
Oxford Middle School,Oxford,Oakland,63110,Oxford Community Schools,LEA School,382,Oxford Bridges High School,1420 E Lakeville Rd,Oxford
Paw Paw High School,Paw Paw,Van Buren,80160,Paw Paw Public School District,LEA School,341,Paw Paw Early Elementary School,512 West North St,Paw Paw
Pinny Central,,Bay,9090,Pinconning Area Schools,LEA School,3041,Pinconning Central Elementary School,609 West 5th St,Pinconning
Cooper Elementary School,Kalamazoo,Kalamazoo,3010,Plainwell Community Schools,LEA School,790,Cooper Elementary School,7559 North 14th St,Kalamazoo
Plainwell High School,Plainwell,Allegan,3010,Plainwell Community Schools,LEA School,3065,Plainwell High School,684 Starr Rd,Plainwell
Plymouth High School,Canton,Wayne,82100,Plymouth-Canton Community Schools,LEA School,8997,Plymouth High School,8400 North Beck Rd,Canton
Port Huron High School,Port Huron,St. Clair,74010,Port Huron Area School District,LEA School,3092,Port Huron High School,2215 Court St,Port Huron
Central Elementary School,Menominee,Menominee,39140,Portage Public Schools,LEA School,583,Central Elementary School,8422 South Westnedge Ave,Portage
Portland St Patrick,Portland,Ionia,34110,Portland Public Schools,LEA School,3098,Portland High School,1100 Ionia Rd,Portland
Ottawa GSRP,Petoskey,Emmet,24070,Public Schools of Petoskey,LEA School,2867,Ottawa Elementary School,871 Kalamazoo Ave,Petoskey
Rapid River Schools,Rapid River,Delta,21060,Rapid River Public Schools,LEA School,3151,Tri-Township School,10070 Us Highway 2,Rapid River
Richmond High School,Richmond,Macomb,50180,Richmond Community Schools,LEA School,3193,Richmond Community High School,35320 Division Rd,Richmond
Richmond Middle School,Richmond,Macomb,50180,Richmond Community Schools,LEA School,3193,Richmond Community High School,35320 Division Rd,Richmond
Three Oaks Elementary,Three Oaks,Berrien,11033,River Valley School District,LEA School,4180,Three Oaks Elementary School,100 Oak St,Three Oaks
Brookfield Academy,Troy,Oakland,63260,Rochester Community School District,LEA School,410,Brooklands Elementary School,490 East Auburn Rd,Rochester Hills
Rochester High School,Rochester Hills,Oakland,63260,Rochester Community School District,LEA School,3242,Rochester High School,180 South Livernois Rd,Rochester Hills
Parkside Elementary,Rockford,Kent,41210,Rockford Public Schools,LEA School,2958,Parkside Elementary School,156 Lewis St,Rockford
Rockford High School and Freshman Center,Rockford,Kent,41210,Rockford Public Schools,LEA School,3246,Rockford High School,4100 Kroes St Ne,Rockford
Rockford HS and Freshman Center,Rockford,Kent,41210,Rockford Public Schools,LEA School,3246,Rockford High School,4100 Kroes St Ne,Rockford
Romeo High School,Romeo,Macomb,50190,Romeo Community Schools,LEA School,3256,Romeo High School,62300 Jewell Rd,Washington
Eastland Middle School,Roseville,Macomb,50030,Roseville Community Schools,LEA School,1050,Eastland Middle School,18700 Frank St,Roseville
Fountain Elementary,Roseville,Macomb,50030,Roseville Community Schools,LEA School,1279,Fountain Elementary School,16850 Wellington,Roseville
Roseville High School,Roseville,Macomb,50030,Roseville Community Schools,LEA School,5596,Roseville High School,17855 Common Rd,Roseville
Roseville Middle School,Roseville,Macomb,50030,Roseville Community Schools,LEA School,3295,Roseville Middle School,16250 Martin Rd,Roseville
Oakland Christian Elementary School,Auburn Hills,Oakland,63040,Royal Oak Schools,LEA School,2805,Oakland Elementary School,2415 Brockton Ave,Royal Oak
Saginaw Preparatory Academy,Buena Vista,Saginaw,73900,Saginaw Covenant Academy,PSA School,3044,Saginaw Covenant Academy,508 S Washington Ave,Saginaw
Arrowwood Elementary,Saginaw,Saginaw,73040,Saginaw Township Community Schools,LEA School,4954,Arrowwood Elementary School,5410 Seidel Rd,Saginaw
Weiss Elementary,Saginaw,Saginaw,73040,Saginaw Township Community Schools,LEA School,4425,Weiss Elementary School,4645 Weiss St,Saginaw
Heritage High School,Saginaw,Saginaw,73010,"Saginaw, School District of the City of",LEA School,1645,Herig School,1905 Houghton Ave,Saginaw
Saline Middle School,Ann Arbor,Washtenaw,81120,Saline Area Schools,LEA School,3385,Saline Middle School,7190 North Maple Rd,Saline
Shelby High School,Shelby,Oceana,64080,Shelby Public Schools,LEA School,3454,Shelby High School,641 North State St,Shelby
Sayre Elementary,South Lyon,Oakland,63240,South Lyon Community Schools,LEA School,3496,Sayre Elementary School,23000 Valerie St,South Lyon
Davidson Middle School,Southgate,Wayne,82405,Southgate Community School District,LEA School,875,Davidson Middle School,15800 Trenton Rd,Southgate
Sparta High School,Sparta,Kent,41240,Sparta Area Schools,LEA School,3560,Sparta Senior High School,475 West Spartan Dr,Sparta
Sparta Middle School,Sparta,Kent,41240,Sparta Area Schools,LEA School,3560,Sparta Senior High School,475 West Spartan Dr,Sparta
Holmes Elementary School,Spring Lake,Ottawa,70300,Spring Lake Public Schools,LEA School,1704,Holmes Elementary School,426 River St,Spring Lake
Spring Lake High School,Spring Lake,Ottawa,70300,Spring Lake Public Schools,LEA School,3567,Spring Lake High School,16140 148th Ave,Spring Lake
Springport High School,Springport,Jackson,38150,Springport Public Schools,LEA School,3573,Springport Elementary School,300 West Main St,Springport
Standish-Sterling Elementary ,Standish,Arenac,6050,Standish-Sterling Community Schools,LEA School,4049,Standish-Sterling Central Elementary School,3789 Wyatt Road,Standish
Standish-Sterling High School,Standish,Arenac,6050,Standish-Sterling Community Schools,LEA School,4049,Standish-Sterling Central Elementary School,3789 Wyatt Road,Standish
Jerolene School,Sturgis,St. Joseph,75010,Sturgis Public Schools,LEA Unique Education Provider,2081,Jerolene,303 E Jerolene St,Sturgis
Vestaburg Comm Schools,Vestaburg,Montcalm,59900,Success Virtual Learning Centers of Michigan,PSA School,3014,Success Virtual Learning Centers of Michigan,7188 Avenue B,Vestaburg
Superior Central School - Elementary,Eben Junction,Alger,2080,Superior Central School District,LEA School,4860,Superior Central School,E2865 State Rd 94,Eben Junction
Superior Central Schools - Middle/High,Eben Junction,Alger,2080,Superior Central School District,LEA School,4860,Superior Central School,E2865 State Rd 94,Eben Junction
Suttons Bay High School,Suttons Bay,Leelanau,45050,Suttons Bay Public Schools,LEA School,726,Suttons Bay Virtual School,310 Elm St,Suttons Bay
Suttons Bay High School,Suttons Bay,Leelanau,45050,Suttons Bay Public Schools,LEA School,726,Suttons Bay Virtual School,310 Elm St,Suttons Bay
Diek Elementary School,Swartz Creek,Genesee,25180,Swartz Creek Community Schools,LEA School,5769,Dieck Elementary School,2239 Van Vleet Rd,Swartz Creek
Diek Elementary School,Swartz Creek,Genesee,25180,Swartz Creek Community Schools,LEA School,5769,Dieck Elementary School,2239 Van Vleet Rd,Swartz Creek
Tawas Area High School,Tawas City,Iosco,35030,Tawas Area Schools,LEA School,4133,Tawas Area High School,255 West M 55,Tawas City
Tawas Area Schools,Tawas City,Iosco,35030,Tawas Area Schools,LEA School,4133,Tawas Area High School,255 West M 55,Tawas City
Tecumseh High School,Tecumseh,Lenawee,46140,Tecumseh Public Schools,LEA School,1931,Tecumseh Virtual Academy,760 Brown St,Tecumseh
Thornapple Kellogg High School,Middleville,Barry,8050,Thornapple Kellogg School District,LEA School,4176,Thornapple Kellogg High School,3885 Bender Rd,Middleville
Thornapple Kellogg Middle School,Middleville,Barry,8050,Thornapple Kellogg School District,LEA School,4176,Thornapple Kellogg High School,3885 Bender Rd,Middleville
Three Lakes Academy,Curtis,Mackinac,49901,Three Lakes Academy,PSA School,130,Three Lakes Academy,W17540 Main St,Curtis
Central High School,Traverse City,Grand Traverse,28010,Traverse City Area Public Schools,LEA School,4200,Central High School,1150 Milliken Dr,Traverse City
Traverse City Central High School,Traverse City,Grand Traverse,28010,Traverse City Area Public Schools,LEA School,4200,Central High School,1150 Milliken Dr,Traverse City
Wass Elementary,Troy,Oakland,63150,Troy School District,LEA School,6939,Wass Elementary School,2340 Willard Drive,Troy
Highland Pines,Caro,Tuscola,79000,Tuscola ISD,ISD School,1997,Highland Pines School,1381 Cleaver Rd,Caro
Wolverine Human Services Saginaw,Saginaw,Tuscola,79000,Tuscola ISD,ISD School,2911,Wolverine Education Center,2424 N Outer Drive,Saginaw
Union City High School,Union City,Branch,13135,Union City Community Schools,LEA School,4246,Union City Middle School,435 Saint Joseph St,Union City
USA Elementary,Unionville,Tuscola,79145,Unionville-Sebewaing Area S.D.,LEA School,4909,Unionville-Sebewaing Elem. School,7835 North Unionville Rd,Unionville
Stephenson High/Middle School,Stephenson,Menominee,55900,Uplift Michigan Academy,PSA School,3165,Uplift Michigan Academy,W526 Division St,Stephenson
Henry Ford II High School,Sterling Heights,Macomb,50210,Utica Community Schools,LEA School,6265,Henry Ford II High School,11911 Clinton River Rd,Sterling Heights
Heritage Junior High,Sterling Heights,Macomb,50210,Utica Community Schools,LEA School,6769,Heritage Junior High School,37400 Dodge Park Rd,Sterling Heights
Indian Hills Elementary,Washington,Macomb,50210,Utica Community Schools,LEA School,983,Schwarzkoff Elementary School,8401 Constitution Blvd,Sterling Heights
Shelby Junior High School,Shelby Township,Macomb,50210,Utica Community Schools,LEA School,3456,Shelby Junior High School,51700 Van Dyke Ave,Shelby Township
Utica High School,Shelby Township,Macomb,50210,Utica Community Schools,LEA School,4267,Utica High School,47255 Shelby Rd,Utica
Owen Intermediate School,Belleville,Wayne,82430,Van Buren Public Schools,LEA School,263,Owen Intermediate School,45201 Owen St,Belleville
Masonic Heights Elementary School,St. Clair Shores,Macomb,50220,Van Dyke Public Schools,LEA School,350,LINCOLN ELEMENTARY SCHOOL,22100 Federal,Warren
Mound Park Elementary,Warren,Macomb,50220,Van Dyke Public Schools,LEA School,2463,McKinley Elementary School,13173 Toepfer Rd,Warren
St. Clair County RESA,Marysville,St. Clair,74912,Virtual Learning Academy of St. Clair County,PSA School,195,Virtual Learning Academyof St. Clair County,499 Range Rd,Marysville
Walker Charter Academy,Walker,Kent,41915,Walker Charter Academy,PSA School,8485,Walker Charter Academy,1801 3 Mile Rd Nw,Grand Rapids
Walkerville Public Schools,Walkerville,Oceana,64090,Walkerville Public Schools,LEA School,4336,Walkerville Public School,145 East Lathrop Street,Walkerville
Glengary Elementary,Commerce Charter Township,Oakland,63290,Walled Lake Consolidated Schools,LEA School,1420,Glengary Elementary School,3070 Woodbury St,Commerce Township
Cousino Senior High School,Warren,Macomb,50230,Warren Consolidated Schools,LEA School,814,Cousino Senior High School,30333 Hoover Rd,Warren
Pinewood Elementary School,Warren,Macomb,50240,Warren Woods Public Schools,LEA School,5658,Pinewood Elementary School,14411 Bade Dr,Warren
Warren Woods Middle School,Warren,Macomb,50240,Warren Woods Public Schools,LEA School,304,Warren Woods Education Center,12900 Frazho Rd,Warren
Warren Woods Towers High School,Warren,Macomb,50240,Warren Woods Public Schools,LEA School,304,Warren Woods Education Center,12900 Frazho Rd,Warren
Westwood Elementary School,Portland,Ionia,50240,Warren Woods Public Schools,LEA School,4490,Westwood Elementary School,11999 Martin Rd,Warren
Wayland Union High School,Wayland,Allegan,3040,Wayland Union Schools,LEA School,1379,Career Connections Academy,870 East Superior Street,Wayland
Wayland Union Middle School,Wayland,Allegan,3040,Wayland Union Schools,LEA School,4404,Wayland High School,870 East Superior St,Wayland
Webberville High School,Webberville,Ingham,33220,Webberville Community Schools,LEA School,4416,Webberville Elementary School,202 North Main St,Webberville
Our Lady of Refuge,West Bloomfield Township,Oakland,63160,West Bloomfield School District,LEA School,7372,Scotch Elementary School,5959 Commerce Rd,West Bloomfield
West Iron County,Iron River,Iron,36025,West Iron County Public Schools,LEA School,1852,West Iron County High School,701 Garfield Ave,Iron River
West Side Christian School,Grand Rapids,Kent,41924,West Michigan Aviation Academy,PSA School,325,West Michigan Aviation Academy,"5363 44th Street, S.E.",Grand Rapids
West Ottawa High School,Holland,Ottawa,70070,West Ottawa Public School District,LEA School,824,Dunes Alternative High School,3685 Butternut Drive,Holland
Harbor Lights Middle School,Holland,Ottawa,70070,West Ottawa Public School District,LEA School,8613,Harbor Lights Middle School,1024 136th Ave,Holland
Woodbridge Elementary,Zeeland,Ottawa,70070,West Ottawa Public School District,LEA School,4595,Woodside Elementary School,2591 North Division Ave,Holland
Roosevelt High School,Wyandotte,Wayne,82170,"Wyandotte, School District of the City of",LEA School,3267,Roosevelt High School,540 Eureka,Wyandotte
Wyoming High School,Wyoming,Kent,41026,Wyoming Public Schools,LEA School,3253,Wyoming High School,1350 Prairie Pkwy Sw,Wyoming
Creekside Middle School,Zeeland,Ottawa,70350,Zeeland Public Schools,LEA School,4622,Creekside Middle School,179 West Roosevelt Ave,Zeeland
Zeeland Christian School,Zeeland,Ottawa,70350,Zeeland Public Schools,LEA School,1199,Zeeland Quest,175 W Roosevelt Ave,Zeeland
Zeeland West High School,Zeeland,Ottawa,70350,Zeeland Public Schools,LEA School,1199,Zeeland Quest,175 W Roosevelt Ave,Zeeland
Bozymowski Center,Sterling Heights,Macomb,,,,1962,,,
Manchester Schools Central Office,Manchester,Washtenaw,,,,2334,,,
Adrian College,Adrian,Lenawee,,,College,N/A,,,
Alma College,Alma,Gratiot,,,College,N/A,,,
Aquinas College,Grand Rapids,Kent,,,College,N/A,,,
Bay College,Escanaba,Delta,,,College,N/A,,,
Calvin University,Grand Rapids,Kent,,,College,N/A,,,
Central Michigan University,Mt. Pleasant,Isabella,,,College,N/A,,,
Central Michigan University,Mt. Pleasant,Isabella,,,College,N/A,,,
Cleary University,Howell,Livingston,,,College,N/A,,,
Concordia University,Ann Arbor,Washtenaw,,,College,N/A,,,
Concordia University,Ann Arbor,Washtenaw,,,College,N/A,,,
Cornerstone University,Grand Rapids,Kent,,,College,N/A,,,
Davenport University,Grand Rapids,Kent,,,College,N/A,,,
Eastern Michigan University,Ypsilanti,Washtenaw,,,College,N/A,,,
Ferris State University,Big Rapids,Mecosta,,,College,N/A,,,
Finlandia University,Hancock,Houghton,,,College,N/A,,,
Glen Oaks Community College,Centreville,St. Joseph,,,College,N/A,,,
Grand Rapids Community College,Grand Rapids,Kent,,,College,N/A,,,
Grand Valley State University,Allendale,Ottawa,,,College,N/A,,,
Great Lakes Christian College,Lansing,Eaton,,,College,N/A,,,
Hillsdale College,Hillsdale,Hillsdale,,,College,N/A,,,
Hope College,Holland,Ottawa,,,College,N/A,,,
Jackson College,Jackson,Jackson,,,College,N/A,,,
Kalamazoo College,Kalamazoo,Kalamazoo,,,College,N/A,,,
Kuyper College,Grand Rapids,Kent,,,College,N/A,,,
Lake Superior State University,Sault Ste Marie,Chippewa,,,College,N/A,,,
Lawrence Tech University,Southfield,Oakland,,,College,N/A,,,
Madonna University,Livonia,Wayne,,,College,N/A,,,
Michigan State University,East Lansing,Ingham,,,College,N/A,,,
Michigan State University off-campus,East Lansing,Ingham,,,College,N/A,,,
Michigan Technological University,Houghton,Houghton,,,College,N/A,,,
Mott Community College,Flint,Genesee,,,College,N/A,,,
MSU,East Lansing,Ingham,,,College,N/A,,,
MSU off-campus,East Lansing,Ingham,,,College,N/A,,,
